Query_num,Tweet_id,Rank
1,1.29E+18,1.299548345
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.28E+18,1.282693526
1,1.29E+18,1.282693526
1,1.29E+18,1.269274777
1,1.29E+18,1.243952607
1,1.29E+18,1.217513282
1,1.29E+18,1.217513282
1,1.28E+18,1.214164126
1,1.29E+18,1.214164126
1,1.29E+18,1.214164126
1,1.29E+18,1.214164126
1,1.29E+18,1.214164126
1,1.29E+18,1.214164126
1,1.28E+18,1.18330242
1,1.28E+18,1.18330242
1,1.28E+18,1.18330242
1,1.28E+18,1.18330242
1,1.29E+18,1.167656511
1,1.28E+18,1.15982331
1,1.28E+18,1.139638465
1,1.28E+18,1.139638465
1,1.28E+18,1.139638465
1,1.29E+18,1.139638465
1,1.29E+18,1.139638465
1,1.29E+18,1.139638465
1,1.29E+18,1.126996634
1,1.29E+18,1.088606744
1,1.28E+18,1.074212502
1,1.29E+18,1.053871557
1,1.28E+18,1.044032964
1,1.28E+18,1.044032964
1,1.28E+18,1.044032964
1,1.28E+18,1.044032964
1,1.28E+18,1.044032964
1,1.29E+18,1.040228046
1,1.29E+18,1.032572139
1,1.29E+18,1.027843485
1,1.28E+18,1.022000985
1,1.28E+18,1.022000985
1,1.28E+18,1.022000985
1,1.28E+18,1.022000985
1,1.28E+18,1.022000985
1,1.28E+18,1.022000985
1,1.28E+18,1.022000985
1,1.28E+18,1.022000985
1,1.28E+18,1.022000985
1,1.28E+18,1.022000985
